Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,75.1946181735781,76.3523056877408,77.4980852028099,78.6530364831181,79.8414004078858,81.0798323136189,82.3783310673012,83.7324609109449,85.1253795603898,86.531288239293,87.9301835486064,89.3173181509177,90.6946181735781
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,37.5143534090669,38.5514882274545,39.6231981553172,40.7282816102896,41.8648198684183,43.0311205601743,44.2266675128514,45.45126187303,46.7036830191872,47.9826066721669,49.2868100949842,50.615681919147,51.9685325040723
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,3.54579837708432,3.58180438576523,3.61675799553748,3.65613695921597,3.69812041774848,3.73946792822573,3.77624569610634,3.8174722411918,3.85802116014608,3.89700291746531,3.92619659515413,3.97090749336615,4.01827985013488
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,205.254166666667,211.416666666667,217.833333333333,224.316666666667,230.508333333333,236.133333333333,241.158333333333,245.658333333333,249.716666666667,253.533333333333,257.183333333333,260.704166666667,264.091666666667
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,6.48236219461299,6.61027480818004,6.73859513949083,6.85955568397059,6.96270345757488,7.04158720986227,7.09274134001092,7.12127997688529,7.13978297858679,7.1658399948634,7.21238241998138,7.28384057273107,7.37748884394363
Chad,TCD,Population density (people per sq. km of land area),EN.POP.DNST,8.018291772554,8.30457750952986,8.59118805590851,8.88150254129606,9.18054876111817,9.49184879288437,9.816541454892,10.1530733799238,10.4990660736976,10.8509839580686,11.2063016200762,11.5642201397713,11.9256456480305
Channel Islands,CHI,Population density (people per sq. km of land area),EN.POP.DNST,766.050534568193,772.767706544192,780.989929083236,790.065687008703,798.878818661425,806.73740482282,813.121243452642,818.464678001971,823.424274152672,828.787910722982,835.277809962951,843.045487029935,851.843467166921
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,21.7646588443462,21.9956952930533,22.2319877359016,22.4714703573841,22.7107714130507,22.9479501660676,23.1779873303205,23.402282979991,23.6324815360804,23.884591723835,24.1675573408594,24.4899577081939,24.8414839222839
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,138.867764954442,139.645345113,140.376590666872,141.097707849945,141.801240358753,142.487739610674,143.172108531324,143.871389770868,144.583452998035,145.317352120725,146.057642237226,146.850677605209,147.674050750889
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,38.438686795854,38.9372663361875,39.4209247408743,39.8873141054529,40.3335322217215,40.7595313204146,41.1564659756647,41.5293808021631,41.9083073456512,42.3336719242902,42.8307048219919,43.4172077512393,44.0748679585399
Comoros,COM,Population density (people per sq. km of land area),EN.POP.DNST,328.65501340166,336.606652044685,344.771616849441,353.15904268935,361.768929564415,370.602889511119,379.671669439376,388.968821203238,398.44437167162,408.054795859382,417.74528452598,427.507777488981,437.341200057394
"Congo, Dem. Rep.",COD,Population density (people per sq. km of land area),EN.POP.DNST,24.1661643986679,24.9566780617984,25.7840290245032,26.6474912331003,27.5461829249465,28.4792368937606,29.4458229858186,30.4451807414922,31.4765033854569,32.538958999581,33.6316111245892,34.7540314505635,35.9051472177499
"Congo, Rep.",COG,Population density (people per sq. km of land area),EN.POP.DNST,10.6084187408492,10.966737920937,11.3502752562225,11.7466647144949,12.1387730600293,12.5145856515373,12.8692357247438,13.2070219619327,13.536635431918,13.8710805270864,14.219897510981,14.5856486090776,14.9654524158126
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,83.9307089698394,85.1040344692519,86.263768115942,87.4094202898551,88.5377986682334,89.6470426948688,90.7380728554642,91.8135526831179,92.8732275754015,93.9168820994908,94.9432824128476,95.9527027027027,96.9438699569134
Cote d'Ivoire,CIV,Population density (people per sq. km of land area),EN.POP.DNST,57.7185974842767,58.9777232704403,60.2869088050314,61.6527327044025,63.0790786163522,64.5690251572327,66.1278459119497,67.7584528301887,69.4575628930818,71.2191289308176,73.0381855345912,74.9141949685535,76.8473867924528
Croatia,HRV,Population density (people per sq. km of land area),EN.POP.DNST,77.0218906361687,77.0400107219442,77.0231772694782,77.014027877055,76.933184417441,76.758881343817,76.4943173695497,76.2608649035025,76.0487669764117,75.7396175839886,75.1180128663331,74.5952287348106,73.7049857040743
Cuba,CUB,Population density (people per sq. km of land area),EN.POP.DNST,105.802160841789,105.808963638072,105.70388951522,105.570941375423,105.474530251785,105.466290868095,105.150241012994,105.751116374129,108.25868355402,108.699307825418,108.871188233032,108.970476831379,109.010373005191
Curacao,CUW,Population density (people per sq. km of land area),EN.POP.DNST,310.040540540541,318.105855855856,324.45045045045,328.558558558559,330.704954954955,334.916666666667,339.709459459459,342.540540540541,346.445945945946,351.146396396396,355.810810810811,359.603603603604,360.754504504505
Cyprus,CYP,Population density (people per sq. km of land area),EN.POP.DNST,111.218831168831,113.150108225108,115.120454545455,117.052272727273,118.840151515152,120.412554112554,121.735173160173,122.840476190476,123.795021645022,124.706168831169,125.647727272727,126.643614718615,127.670995670996
Czech Republic,CZE,Population density (people per sq. km of land area),EN.POP.DNST,132.166916903961,132.542459546926,133.318161812298,134.428517799353,135.196582524272,135.608622475401,135.889280165717,136.097177262722,136.159958559959,136.30337995338,136.589288952208,136.834136234136,137.198109298109
